frame,timestamp,yaw,pitch,roll,label
0,0.0,6.0,-4.6,-0.06,focused
1,0.03333333333333333,5.18,-5.05,-0.39,focused
2,0.06666666666666667,4.38,-6.19,-1.35,focused
3,0.1,3.32,-6.71,-1.55,focused
4,0.13333333333333333,0.89,-7.42,-0.53,focused
5,0.16666666666666666,-0.91,-7.84,-1.1,focused
6,0.2,-2.0,-7.5,-1.51,focused
7,0.23333333333333334,-1.86,-6.71,-0.65,focused
8,0.26666666666666666,-1.9,-4.99,-0.85,focused
9,0.3,-2.05,-3.65,-2.46,focused
10,0.3333333333333333,-1.62,-4.86,-2.4,focused
11,0.36666666666666664,-0.88,-4.49,-1.61,focused
12,0.4,-1.37,-4.31,-2.32,focused
13,0.43333333333333335,-1.49,-5.7,-1.68,focused
14,0.4666666666666667,-0.09,-7.25,-0.75,focused
15,0.5,-0.68,-6.48,0.41,focused
16,0.5333333333333333,0.15,-6.36,-0.19,focused
17,0.5666666666666667,-0.04,-5.98,1.28,focused
18,0.6,0.2,-5.82,-0.02,focused
19,0.6333333333333333,-1.34,-4.27,0.6,focused
20,0.6666666666666666,-1.03,-3.26,0.45,focused
21,0.7,-2.7,-3.61,1.88,focused
22,0.7333333333333333,-2.43,-2.87,-0.28,focused
23,0.7666666666666667,-1.13,-2.7,0.2,focused
24,0.8,0.16,-4.38,-0.74,focused
25,0.8333333333333334,0.59,-4.1,-1.27,focused
26,0.8666666666666667,0.43,-4.62,-1.64,focused
27,0.9,0.79,-5.87,0.24,focused
28,0.9333333333333333,0.07,-5.34,-0.01,focused
29,0.9666666666666667,-0.35,-4.39,-0.75,focused
30,1.0,-0.41,-5.12,-0.44,focused
31,1.0333333333333334,0.16,-5.66,-1.24,focused
32,1.0666666666666667,-0.51,-5.83,-1.65,focused
33,1.1,-0.2,-5.28,-1.12,focused
34,1.1333333333333333,0.38,-5.09,-1.39,focused
35,1.1666666666666667,0.06,-5.21,0.08,focused
36,1.2,0.1,-4.18,0.31,focused
37,1.2333333333333334,-0.73,-3.01,0.86,focused
38,1.2666666666666666,-0.34,-4.69,1.6,focused
39,1.3,-2.0,-4.29,4.06,focused
40,1.3333333333333333,-2.96,-4.67,2.65,focused
41,1.3666666666666667,-3.27,-5.78,2.71,focused
42,1.4,-3.17,-6.18,1.71,focused
43,1.4333333333333333,-2.41,-6.1,0.67,focused
44,1.4666666666666666,-0.19,-7.19,-0.51,focused
45,1.5,2.1,-7.82,-0.46,focused
46,1.5333333333333334,2.87,-6.42,-1.24,focused
47,1.5666666666666667,2.61,-6.39,-0.51,focused
48,1.6,1.31,-5.71,-0.72,focused
49,1.6333333333333333,0.73,-4.8,-1.29,focused
50,1.6666666666666667,1.29,-3.55,-2.12,focused
51,1.7,1.68,-4.6,-0.9,focused
52,1.7333333333333334,4.16,-5.41,-0.5,focused
53,1.7666666666666666,4.33,-5.12,1.04,focused
54,1.8,3.85,-5.75,0.94,focused
55,1.8333333333333333,1.17,-6.08,1.86,focused
56,1.8666666666666667,0.79,-5.0,1.39,focused
57,1.9,1.08,-4.67,2.45,focused
58,1.9333333333333333,1.29,-5.68,0.67,focused
59,1.9666666666666666,2.02,-5.36,1.63,focused
60,2.0,3.31,-5.35,0.92,focused
61,2.033333333333333,1.52,-6.12,1.42,focused
62,2.066666666666667,0.28,-6.71,-0.1,focused
63,2.1,0.04,-6.72,0.63,focused
64,2.1333333333333333,-0.38,-7.28,0.42,focused
65,2.1666666666666665,-0.3,-6.58,1.56,focused
66,2.2,-0.16,-6.88,1.35,focused
67,2.2333333333333334,0.14,-5.82,3.56,focused
68,2.2666666666666666,0.33,-4.61,4.04,focused
69,2.3,0.92,-4.11,4.28,focused
70,2.3333333333333335,-0.41,-4.9,3.36,focused
71,2.3666666666666667,1.05,-2.95,1.93,focused
72,2.4,1.22,-4.23,-0.67,focused
73,2.433333333333333,1.74,-4.87,-1.89,focused
74,2.466666666666667,0.37,-4.27,-2.78,focused
75,2.5,1.36,-4.11,-2.88,focused
76,2.533333333333333,3.42,-5.11,-2.97,focused
77,2.566666666666667,2.92,-4.54,-2.18,focused
78,2.6,1.04,-4.65,-1.23,focused
79,2.6333333333333333,2.62,-5.78,-0.99,focused
80,2.6666666666666665,1.93,-6.2,0.46,focused
81,2.7,0.19,-7.33,2.22,focused
82,2.7333333333333334,2.13,-6.32,0.8,focused
83,2.7666666666666666,2.43,-5.49,0.07,focused
84,2.8,2.01,-4.3,-0.28,focused
85,2.8333333333333335,2.43,-5.86,-1.96,focused
86,2.8666666666666667,1.77,-5.85,-1.53,focused
87,2.9,-1.78,-6.73,-0.54,focused
88,2.933333333333333,0.14,-8.35,0.58,focused
89,2.966666666666667,-0.29,-9.41,1.42,focused
90,3.0,-0.03,-7.82,2.07,focused
91,3.033333333333333,-0.16,-7.01,1.49,focused
92,3.066666666666667,2.85,-7.49,2.69,focused
93,3.1,-0.54,-6.71,2.35,focused
94,3.1333333333333333,-0.27,-6.5,1.95,focused
95,3.1666666666666665,-0.96,-6.49,2.41,focused
96,3.2,-0.22,-6.98,2.56,focused
97,3.2333333333333334,-1.5,-5.75,1.66,focused
98,3.2666666666666666,-0.38,-5.99,1.75,focused
99,3.3,-0.05,-5.63,1.95,focused
100,3.3333333333333335,1.72,-5.63,1.76,focused
101,3.3666666666666667,1.16,-5.35,1.88,focused
102,3.4,1.68,-5.35,2.29,focused
103,3.433333333333333,2.53,-4.6,1.66,focused
104,3.466666666666667,2.25,-4.67,1.64,focused
105,3.5,1.56,-4.8,2.57,focused
106,3.533333333333333,0.76,-5.4,2.61,focused
107,3.566666666666667,0.73,-5.51,2.2,focused
108,3.6,0.69,-6.46,2.43,focused
